geneID	bh_t14_A	bh_t14_B	bh_t14_C	bh_t32_A	bh_t32_B	bh_t32_C	bh_t72_A	bh_t72_B	bh_t72_C
RUMHYD_00001	131	65	32	46	45	22	7	6	10
RUMHYD_00002	18860	30936	18434	51207.185	37552.025	13918	7620	5729	7250
RUMHYD_00004	58	11	42	13	26	22	3	0	12
RUMHYD_00005	31	30	17	71	116	35	7	4	11
RUMHYD_00007	0	0	0	0	0	0	0	0	0
RUMHYD_00006	5	0	18	175	908	305	75	13	123
RUMHYD_00008	0	0	6	139.673	616.04	167	61	42	284.02
RUMHYD_00009	24	3	0	277.327	1226.96	677	46	34	122.195
RUMHYD_00010	0	11	4	93	343	203.973	23	50	196.8
RUMHYD_00011	0	12	9	107	303.983	139.027	34.587	17	169.985
RUMHYD_00012	0	17	16	181	627.017	324	59.793	42	173
RUMHYD_00013	43	104	40	468	1733	766	74.62	77	196
RUMHYD_00014	30	86	12	2537.705	2146.672	2952.746	9	33	51
RUMHYD_00015	38	100	32	1428.295	1077.328	1620.254	3	8	15
RUMHYD_00016	0	0	0	0	0	1	0	0	0
RUMHYD_00017	331	946	261	5631	4536	6115	68	92	69
RUMHYD_00018	869	1557	1011	2974	9635.388	8504	229	270	537
RUMHYD_00019	517	557	453	695	767	275	320	132	117
RUMHYD_00020	89	376	212	2315	2321	3837	69	73	65
RUMHYD_00021	1079	2348	1287	984	250	593.01	46	65	118
RUMHYD_00022	368	830	484	638	399	460	57	29	155
RUMHYD_00023	91	295	203	473	325	305	26	13	149.774
RUMHYD_00024	92	130	170	507	391	493	20	22	80.226
RUMHYD_00025	101	182	120	756	663	630	61	36	189
RUMHYD_00026	138	120	141	1674	1194	1366	44	33	196
RUMHYD_00027	0	13	21	182	60	103	18	3	114
RUMHYD_00028	153	92	95	604	632.972	670	29	38	39
RUMHYD_00029	0	9	0	14	20.028	23	0	0	0
RUMHYD_00030	1428	774	866	210	122	194	8	9	49
RUMHYD_00031	192	205	150	1669	2217	2608	88	49	41
RUMHYD_00032	0	8	0	3	2	4	0	0	6
RUMHYD_00033	9	9	5	2	0	0	0	0	2
RUMHYD_00034	26	14	0	8	8	7	1	0	3
RUMHYD_00035	1144	1318	1136	6196	2082	3634	126	100	235
RUMHYD_00036	13875	8794	8426	43431.378	40314	33537	1722	1144	830
RUMHYD_00037	188	258	94	1924	4185	2839	57	71	16
RUMHYD_00038	646	535	404	1262.085	767	1369	80.481	50	101
RUMHYD_00039	81	283	178	738	310	897	38.519	28	209.451
RUMHYD_00040	864	716	731	3143	1039	1770	125	132	213.549
RUMHYD_00041	3184	3592	1885	17754.686	145859.486	50763.169	3782	1949	999
RUMHYD_00042	170	292	112	1708.696	1099.363	2540.042	65	15	39
RUMHYD_00043	101	302	193	1465.72	1665.64	2500.958	61	40	63
RUMHYD_00044	1808	1541	1515	3205	4917	3985	421	244	391
RUMHYD_00045	408	245	279	1212.973	1262	1110	74	63	133
RUMHYD_00046	216	140	144	927.027	1080	971	51	88	88
RUMHYD_00047	111416	220531	125975	58337.985	17013.377	46457	780	632	391
RUMHYD_00048	0	3	9	9	0	9	0	7	0
RUMHYD_00049	14494	9624	9165	39697.755	36457.753	29783	2165.76	1312	1089.674
RUMHYD_00050	196	118	74	203.001	38	189	12.24	10	34.326
RUMHYD_00051	6229	13429	3670	3515	1486	2011	36	22	8
RUMHYD_00052	33.431	53	67.127	45.129	18.8	60.852	2	0	2.46
RUMHYD_00053	70.569	152	71.873	108.871	69.2	160.148	3	11	12.54
RUMHYD_00054	0	5	0	5	6	9	0	0	5
RUMHYD_00055	3261	3088	2742	7326	3565	6158.657	228	151	333
RUMHYD_00056	8938	11233	8371	37643.502	14711.036	32181.098	753	499	641
RUMHYD_00057	58	206	144	225	572	441	41	42	219
RUMHYD_00058	2080	2188	1764	2354	2148	2197	299	295.864	242
RUMHYD_00059	7880	7554	7002	17797.671	18017	16306	825	817.136	865
RUMHYD_00060	1162.861	1821.122	1321.72	3629.684	2203.464	3766.22	59.264	78	80.108
RUMHYD_00061	1923.139	2758.878	2868.28	5489.293	3239.536	5453.78	185.736	145	324.55
RUMHYD_00062	472	516	412	1998.417	1097.936	1550.601	64	64	133.09
RUMHYD_00063	655	956	875	3274.583	2515.064	2277.399	189	153	266.251
RUMHYD_00064	5219	7882	6806	20410.682	15484	20238	1125	845	698
RUMHYD_00065	1549	1916	1243	7884	2339	7782.341	180	179	151
RUMHYD_00066	41	0	0	4	1	0	6	0	17
RUMHYD_00067	948	658	706	3038.998	3647	1399	451	255	430
RUMHYD_00068	873	1285	998	4245	3855	3711	269	142	146.006
RUMHYD_00069	6768	11649	11477	8876.904	7193	10094	552	391	517.994
RUMHYD_00070	4398	3267	2568	20593.245	13818	17480	639	466	538
RUMHYD_00071	0	3	1	5	20	8	0	0	9
RUMHYD_00072	128	119	55	1010	1318	1335	23	14	29
RUMHYD_00073	301	416	264	730	603	598	55	86	368
RUMHYD_00074	0	0	0	5	0	0	0	0	0
RUMHYD_00075	49	101	65	528	1063	815	21	27	34
RUMHYD_00076	2876	3550	2103	3116	4362	5089	288	235	200
RUMHYD_00077	1239	917.142	691	2738.85	4340.395	3187.89	212	176	149
RUMHYD_00078	3455	5896.858	3072	10145.124	12591.675	13975.11	449	362	292
RUMHYD_00079	556	356.534	343.807	1433.81	1974.007	2133.793	65.139	31	16
RUMHYD_00080	1904.68	3405.99	2141.188	11479.364	16634.247	19537.384	444.001	351	163
RUMHYD_00081	5421.677	4796.923	4189.006	12591.506	15282.972	20390.723	290.86	281	249.651
RUMHYD_00082	2350.643	3748.553	2155	5766.39	5806.07	7367.119	113	146	99.349
RUMHYD_00083	4567	2894	4245	3827.148	4306.186	5788.828	49	75	69
RUMHYD_00084	1613	1364	993.222	2856.557	2596.109	2488.518	55	81	53.99
RUMHYD_00085	255	209	179.778	1433.646	1074.395	1186.498	33.275	36	41.01
RUMHYD_00086	853	859.7	709	4281.776	2550.869	3263.431	32.725	70	60.495
RUMHYD_00087	5185	2585.3	3249.07	3896.354	1981.463	2984.727	28	57.997	53.505
RUMHYD_00088	1668	1514	1057.93	4950.677	1184.981	4155.873	48	81.003	38
RUMHYD_00089	105	105	73	261.162	194.883	320.006	9	3	57
RUMHYD_00090	81	62	35	275.381	362.299	359.994	15	4	82
RUMHYD_00091	24	7	19	115.458	129.819	125.478	13	15	47
RUMHYD_00092	0	11	22	79	143	119.522	6.686	6	36
RUMHYD_00093	6	45	7	27	26	39	8.314	6	49
RUMHYD_00094	6	11	2	22	20	13	10	10	68.089
RUMHYD_00095	21	0	7	4	2	9	5	9	77.911
RUMHYD_00096	0	6	0	0	9	5	3	0	46
RUMHYD_00097	0	2	0	5	1	2	0	3	36
RUMHYD_00098	0	0	0	5	3	5	2	10	72.259
RUMHYD_00099	0	0	0	0	7	0	0	0	9.741
RUMHYD_00100	3528	2105	2462	1922	2364	1893	132	129	54
RUMHYD_00101	434	274	168	1081	1177	927	29	23	8
RUMHYD_00102	2977	3253	3200	5398	5186	4455	316	225	184
RUMHYD_00103	995	1533	1090	2569.909	5847.566	3947.393	229.408	206	128.254
RUMHYD_00104	345	297	162	1033.091	1596.434	1077.607	167.592	84	100.746
RUMHYD_00105	0	0	0	5	1	2	0	4	58
RUMHYD_00106	0	4	0	1	3	0	0	0	14
RUMHYD_00107	22	0	5	3	0	2	2	9	56
RUMHYD_00108	0	5	7	10	24	7	4	1	27
RUMHYD_00109	0	6	2	10	12	7	2	0	33
RUMHYD_00110	0	0	0	10	1	6	0	7	64.388
RUMHYD_00111	4	5	6	9	14.316	26	2	7	56.612
RUMHYD_00112	2	7	11	26	24.684	27	1	0	35
RUMHYD_00113	0	19	0	36	38	25	5	0	16
RUMHYD_00114	4	6	17	48	42	47	0	10	30
RUMHYD_00115	0	0	0	2.521	2	3	0	0	6
RUMHYD_00116	122	112	128	109.479	83	114	4	16	35
RUMHYD_00117	21	45	31	16	11	12	6	0.899	23
RUMHYD_00118	0	12	32	22	23	12	1	9.101	23
RUMHYD_00119	24	55	14	45	25	20	10	4	64
RUMHYD_00120	9	17	2	12	9	12	3	4	55
RUMHYD_00121	23	0	0	10	14	6	10	11	141
RUMHYD_00122	0	0	0	6	0	7	4	7	41
RUMHYD_00123	119	158	127	343.685	397.914	581.63	28	12	47.631
RUMHYD_00124	138	129	80	339.157	502	506.095	24.808	25	44
RUMHYD_00125	73	157	134	285.321	398	360.905	43.192	30	222
RUMHYD_00126	60	71	113	161	195	158	18	12	102
RUMHYD_00127	46	97	70	95	148	104	31	23.341	96.278
RUMHYD_00128	52	124	99	294	362	357	22	18.659	86.722
RUMHYD_00129	10	42	60	264	296	254	49	44	216
RUMHYD_00130	14	51	52	197	256	225	26.666	31	200.122
RUMHYD_00131	21	26	6	305	312	312	48.334	42	275.878
RUMHYD_00132	731	908	752	1335	751	2244.711	126	21	32
RUMHYD_00134	0	0	0	0	0	0	1	0	7
RUMHYD_00133	2616	2557	2494	6585.038	8127.011	7974	738	365	454.498
RUMHYD_00135	256	205	161	1074	832	879	73	73.584	150.099
RUMHYD_00136	1649	1563	1396	5899.39	4799	6878	368	206.416	293.402
RUMHYD_00137	371	871	614	3650.722	2746.755	4962.896	106	100	97
RUMHYD_00138	150	111	111	1154.278	749.245	1333.104	63	17	68
RUMHYD_00139	19765	27917	19638	40292.145	12365	49953	857	554	499
RUMHYD_00140	0	25	2	11	10	54	5	0	21
RUMHYD_00141	0	3	0	7	6	4	1	10	12
RUMHYD_00142	21	3	0	6	3	31	0	0	3
RUMHYD_00143	149	331	252	494	392	587	27	12	37
RUMHYD_00144	65	30	62	159	113	200	7	5	25
RUMHYD_00145	0	0	0	0	0	0	0	0	0
RUMHYD_00146	63.357	70	35	414.793	273	387	35	9	61
RUMHYD_00147	67.643	28	19	57.207	38	39	2	0	5
RUMHYD_00148	3591	2062	1847	2181	2182.425	2061	359	166	200.001
RUMHYD_00149	460	548	345	1071	1203.575	760	99	25	104.999
RUMHYD_00150	574	1966	1364	2128	2401.222	2385	257	160	203
RUMHYD_00151	7017	10810	8384	22396.313	20403.962	22934	1049.999	822	711
RUMHYD_00152	1716	2096	1785	7934.687	6232.816	7474	249.001	237	173
RUMHYD_00153	4049	5200	4816	10966	6719	10519.881	440	315	395.665
RUMHYD_00154	6764	9223	8822.84	10251.027	9676	13955.009	688	552	612.905
RUMHYD_00155	3233	7117	5782	11661.237	11819.014	16927.327	699	352	407.43
RUMHYD_00156	31084	47597	35073	96733.855	181676.233	199717.075	6761	4187	2521
RUMHYD_00157	0	10	18	497.807	5417.495	3333.826	57	27	90
RUMHYD_00158	26	28	21	234.193	2768.529	1470.174	25	34	56
RUMHYD_00159	0	0	0	0	0	0	0	0	3
RUMHYD_00160	22	25	37	530	496	610	94	77	230.373
RUMHYD_00161	2417	3470	2029	18796.45	13626.796	9064	302	420	180.627
RUMHYD_00162	1708	2200	1574	54752.037	161103.467	60209.512	3365.415	2156.012	1117.114
RUMHYD_00163	1907	3039	2379	73209.46	172904.614	90553.954	3591.565	1916.988	1080.876
RUMHYD_00164	9727	15920	12269	120209.151	200217.278	135097.148	3851.019	3863	1986.198
RUMHYD_00165	2613	3771	2537	88640.078	142827.707	117575.107	2430	2235	1048.841
RUMHYD_00166	5783	4892	4689	174778.104	253930.85	188765.821	3688.028	4356.518	1956.622
RUMHYD_00167	9700	9055	7689	259672.645	398330.966	292589.57	6471.838	5480.482	2593.349
RUMHYD_00168	140	169	195	458.413	1718.658	1801.829	42	49	49
RUMHYD_00169	560	910	1442	2678.036	9706.404	12032.602	153.498	158	105
RUMHYD_00170	20	218	151	1459.551	4726.274	7038.568	65.502	83	37
RUMHYD_00171	1078	927	858	13293	9765	19413	739	447	337
RUMHYD_00172	3325	3041	3045	40820.654	19750.291	44046	591	468	554
RUMHYD_00173	133	211	89	2097	4877	3652	82	68	27
RUMHYD_00174	766	1076	569	62934.351	54517	68828.007	1623	1277	903
RUMHYD_00175	146	210	118	7714.445	6464.523	9507.996	85	82.152	79.445
RUMHYD_00176	98	163.168	134	8330.784	8762.372	10961.574	120	77.848	178.555
RUMHYD_00177	92	33.832	31	487.161	455.376	476.573	18	32	34
RUMHYD_00178	46	65	33	1052	621	1224	28	24	144
RUMHYD_00179	825	1296	894	9252.46	14779.335	14804.678	606	370	238
RUMHYD_00180	73	214	150	1243.54	2465.665	1968.322	68	60	30
RUMHYD_00181	0	0	0	25	10	21.043	0	0	12.061
RUMHYD_00182	195	288	134	1045	2282	1396.957	161	208	293.233
RUMHYD_00183	294	479	290	1836	3306	2658.128	129.601	116	154.706
RUMHYD_00184	133	214	185	1401	2332	2353	74.399	43	139.369
RUMHYD_00185	110	86	99	1114	1967	851	228	73	232.631
RUMHYD_00186	327	333	122	1343	611	1688	71	24	36
RUMHYD_00187	1068	1305	977	3717.035	8304	4803	621.543	478	396.424
RUMHYD_00188	7	64	38	184	350	365	19.457	17	53.576
RUMHYD_00189	2114	6281	4219	18966.168	25949	27534	901	468	333
RUMHYD_00190	247	354	235	209	169	261	90	40	68
RUMHYD_00191	343.04	1208	825	3431.101	10158.63	5214.147	280	150	191
RUMHYD_00192	151.96	959.514	717	1603.326	5199.856	2515.727	178	109	65.607
RUMHYD_00193	129	371.486	225	990.573	2815.514	1035.126	54	25	13.393
RUMHYD_00194	112	230	146	67	19	33	1	4	2
RUMHYD_00195	434	1003	989	872	1230	837	287	140	398.775
RUMHYD_00196	22	128	107	228	147	158	24	48	95.724
RUMHYD_00197	790	2194	2304.622	1633.994	1637.735	2003.062	188.876	100	94.501
RUMHYD_00198	680	1756	1598.378	1925.006	1929.265	1569	202.124	209	139
RUMHYD_00199	898	921	1016	1397.045	1472.656	1494	130	138	180
RUMHYD_00200	2873	6781.993	7711.154	6208.681	5130.226	5975.936	511.55	406	498
RUMHYD_00201	1567	4607.007	5003.846	5028.195	4113.118	4907.064	443.45	261	306.334
RUMHYD_00202	104	292	270	658.575	407.433	584	197	44	162.666
RUMHYD_00203	669	1453	1017	3423.425	1896.567	3256	163	124	190
RUMHYD_00204	857	991	932	2615	1014	1757	222	204	363.276
RUMHYD_00205	256	553	498	1616	616	1426	51	85	93.724
RUMHYD_00206	159	263	144	1231	2419	2404	48	42	28
RUMHYD_00207	44	165	65	587.791	1438.505	1141.027	33	33	18
RUMHYD_00208	235	534.238	231	639.558	1552.769	1332.956	32	15	41.979
RUMHYD_00209	462	636.422	518.947	868.246	2666.063	1753.891	72.724	37.821	74.611
RUMHYD_00210	337	1374.34	798.053	2100.406	6569.718	4607.153	163.276	141.179	78.41
RUMHYD_00211	259	289	265	838	748	556	99	72	165
RUMHYD_00212	51	83	49	254	241	96	23	8	60.561
RUMHYD_00213	315	616	643	1286	2038	1398	153	111	199.101
RUMHYD_00214	545	836	778	1264	1901	1330	205	120	341.338
RUMHYD_00215	0	0	5	5	0	2	1	0	3
RUMHYD_00216	826	1737	1549	3979.843	7357.012	6220.462	314	295	315.445
RUMHYD_00217	79	287	245	770.721	1310.586	955.538	44.998	35	85.869
RUMHYD_00218	340	396	368	3049.436	4215.356	2548	230.002	156	272.545
RUMHYD_00219	5499	5839	4945	15079	16275	14271	672	621	511.142
RUMHYD_00220	1168.364	1529	728.002	4723.564	5179.39	6756.721	270.394	197	244
RUMHYD_00221	1798.636	1558	1184.998	6912.694	8316.611	8967.279	255.127	123	118.044
RUMHYD_00222	8837	10065	9562	19627.608	15779.336	31929.13	1016.815	727	732.094
RUMHYD_00223	4239	3970	3086	19879.809	15439.136	23298.013	657.665	494	288.863
RUMHYD_00224	420	749	586	1103	604	1782	36	31	35
RUMHYD_00226	1099	553	675	1045.663	1187	541	577.17	163	370.808
RUMHYD_00227	416	206	302	510.337	409	183	191.83	55	198.192
RUMHYD_00228	0	13	0	0	0	1	0	5	26
RUMHYD_00229	1749	1524	1400	1645	1021	1262	356	241	307
RUMHYD_00230	16	0	0	7	0	4	5	0	12
RUMHYD_00231	327	411	267	876	607	1362	31	28	19
RUMHYD_00232	229	215	154	578	478	396	65	54	63.618
RUMHYD_00233	5067	4087	4050	13207	15540	12628	878	527	750.384
RUMHYD_00234	290	403	406	931.215	1394.614	1013	62	35	97.001
RUMHYD_00235	769	883	516	2773.194	2849.864	3163	196	154	115.997
RUMHYD_00236	174	205	134	964.434	917.765	959.353	24	32	45.528
RUMHYD_00237	22482	26976	29691	25435.791	29343.561	36265.647	1804	1171	1009.472
RUMHYD_00238	653	812	571	1264	522	1206	83	50	175.101
RUMHYD_00239	991	2503	1810	1548	800	1255	77.576	61	118.899
RUMHYD_00240	153	398	272	346	165	361	29.424	18	77
RUMHYD_00242	0	0	10	92	94	177	9	6	22
RUMHYD_00241	0	6	9	3	0	3	0	0	0
RUMHYD_00243	129	447	263	795.244	3186.642	1429.125	75	71	163.041
RUMHYD_00244	76	103	50	106.772	335.358	161	11	21	114.396
RUMHYD_00245	79	21	31	105	426	158	19	5	110.563
RUMHYD_00246	0	0	0	27	68	26	2	0	55
RUMHYD_00247	990	836	654	4432.136	2138	5279	322	290.569	342.95
RUMHYD_00248	3319	2713	2996	11194.862	5144	11974	454.809	318.431	361.05
RUMHYD_00249	2233	1339	1482	6756.318	2884	8007.714	472.191	191	392.001
RUMHYD_00250	451	230	207	2517.825	970	2508.286	94	75	123.999
RUMHYD_00251	2272	3846	3030.689	16542.304	10634.204	18447.048	307.109	221	210.964
RUMHYD_00252	3953	4287	3533.311	10117.215	5675.796	12489	301.891	259	219.036
RUMHYD_00253	723	949	586	2781	901	2114	163	102	235
RUMHYD_00254	0	38	12	281	349	382	17.376	11	100.775
RUMHYD_00255	85	44	31	532	563	645	29.624	19	115.225
RUMHYD_00256	20	11	13	319	305	366	20	28	130
RUMHYD_00257	64	46	26	693	559	957	24	26	65
RUMHYD_00258	385	804	484	2478.124	1527	4121	82	73	69
RUMHYD_00259	6879.227	8859.25	7581	21914.525	70860.9	38877.123	2624.452	1849.058	1067.416
RUMHYD_00260	11897.773	14071.75	11974	35943.792	108447.063	55984.854	2668.19	1977.032	982.584
RUMHYD_00261	50170.156	42674.68	44465.168	34530.235	46870.606	48396.122	4754.773	2693.153	2413.958
RUMHYD_00262	15876.844	21271.32	16158.832	4414.282	3794.683	3836.903	421.227	256.757	268.042
RUMHYD_00263	0	7	2	7	5	5	0	0	0
RUMHYD_00264	362	343	428	661	451	370	90	51	202
RUMHYD_00265	632	862	413	2349.65	1781.57	1977.684	110.629	126	85.812
RUMHYD_00266	3440	5769.125	3644.481	12257.723	9598.42	11031.048	534.36	626	472.188
RUMHYD_00267	3532.015	5306.875	4145.519	18268.237	9037.081	13466.268	612.011	604	587.47
RUMHYD_00268	10017	9630	11823	10514.341	7556.929	13118	1157	709	538.53
RUMHYD_00269	0	1	0	35	6	10	0	0	24
RUMHYD_00270	45	77	66	67	102	126	71	9	173.552
RUMHYD_00271	1025	1119	1174	2774	2148	2370	236	260	752.815
RUMHYD_00272	979	1552	1182	3194	1598	3846	346	207	258.633
RUMHYD_00273	1580	2489	1517	6618	3216	7303	223	214	242
RUMHYD_00274	92.487	228.415	101.934	109.732	122.175	171.693	10.056	11	24
RUMHYD_00275	1.426	36.172	44.504	21.298	27.693	45.405	7.001	1.198	0
RUMHYD_00276	491	1184	760	873	865	918	78	60	234.501
RUMHYD_00277	56	119	70	181	208	165	24	37	143.501
RUMHYD_00278	81	96	71	739	849.628	829	49	32	273.998
RUMHYD_00279	0	0	0	2	1	0	0	0	0
RUMHYD_00280	933	2433	928	24300.146	8944	44747.655	319	373	254
RUMHYD_00281	77	159	97	1481	1227	2968	41	73	131
RUMHYD_00282	708	1161	585	2793	2351	5704	215	98	255
RUMHYD_00283	221	801	483	1277.287	984	3377	203	117	192.033
RUMHYD_00284	770	850	504	3051.713	3692.16	5939.194	192	171	129.967
RUMHYD_00285	1127	797	906	2955.041	3027.84	3891.071	241	157	243
RUMHYD_00286	1429	472	693	1353	895	576	103	60	182
RUMHYD_00287	1056	1759	1079	6341	4897	7868	608	267	221
RUMHYD_00288	57	52	27	115	49.542	78	35	35	40.128
RUMHYD_00289	1032	1973	1230	2379	951.458	2897	571	334	478.872
RUMHYD_00290	121	74	72	181	120	109	22	9	8
RUMHYD_00291	1519	1071	1499	123	30	119	65	24	27
RUMHYD_00292	18	32	14	107	42	41	10	10	55.984
RUMHYD_00293	217	462	402	345	123	380	66	43	94.016
RUMHYD_00294	323	273	242	556.051	252	409	126	58	175
RUMHYD_00295	26037	58640	33522	6859.949	2536	9852	1202	751	750
RUMHYD_00296	1404	681	759	1211	621	590	70	121.826	217.586
RUMHYD_00297	392	405	427	775.02	416	396	48	81.174	115.414
RUMHYD_00298	2297	7804	2342	7681	3899.997	6110	219	195	246
RUMHYD_00299	14	0	19	17	7	8	0	6	1
RUMHYD_00300	344	353	262	1631	3345	2263	135	108	56
RUMHYD_00301	15	11	6	13	0	9	1	0	0
RUMHYD_00302	541	482	606.999	1060.798	886.348	1105.383	120	66	130.275
RUMHYD_00303	134	168	133.001	750.202	330.656	351.617	42	16	94.322
RUMHYD_00304	155	121	48	553	259	384	33	55	145.404
RUMHYD_00305	6846	2917	2803	24186.506	24249.655	40067.134	685	532	249
RUMHYD_00306	2838	2858	2296	5330.068	4739.002	5234	360	306	432
RUMHYD_00307	1438	1183	1127	3992.95	2588.998	3889	218	254	449
RUMHYD_00308	676	515	487	1895.682	1263	1252	156	53	110.604
RUMHYD_00309	3042	3768	3176	10158	8780	11977	427	343	309.396
RUMHYD_00310	2111	2521	1664	11063	25448.317	25525	689	370	295
RUMHYD_00311	13817.751	21473	17155.727	20198.845	10065	18425	1929	1431	850
RUMHYD_00312	3810.249	1628	1332	4165	2393	1178	118	109	74
RUMHYD_00313	88	47	39	29	7	38	1	4	0
RUMHYD_00314	8535	6739	7256	24253.323	16645	11289	1087	966	678
RUMHYD_00315	27792	40494	37814	192597.444	220057.973	273661.982	7599	5815	3515
RUMHYD_00316	4843	4841	4584.007	30778.218	31344.014	33744.739	1124.039	772.117	529.521
RUMHYD_00317	48322	42961	40246.993	263515.754	271099.17	316393.046	5447.971	4475.883	3046.479
RUMHYD_00318	12563	14067	11902	146370.702	88131.673	155699.628	2752	1821	1304
RUMHYD_00319	16600.286	17413.596	18922.811	79734.726	80208.812	92243.698	2475.305	1840.086	1089
RUMHYD_00320	23778.163	40400.649	30308.067	129716.094	112107.764	144506.49	2936.372	2422	1677.181
RUMHYD_00321	56004	138376	96240	96952.178	68298.5	131761.806	3124	1687	1302
RUMHYD_00322	9608	10851	8498	71467.038	24756.319	35299.679	2734	2471	1637.175
RUMHYD_00323	2553	3168	2494	23764.404	7980.681	12234	560	458	336.825
RUMHYD_00324	326	392	301	5824	3517.086	4859.878	121	59	98
RUMHYD_00325	6724	9372	6966	107473.797	70914.914	97151.068	1655	1662	1022
RUMHYD_00326	0	9	9	36.017	8	17	3	0	14
RUMHYD_00327	307	279	167	1783	1694	1204	245	131	274
RUMHYD_00328	1448	1480	968	4604.052	3576	4413	193	155	262
RUMHYD_00329	0	0	0	0	0	1	0	0	0
RUMHYD_00330	0	4	0	0	0	0	0	0	0
RUMHYD_00331	2927	1290	1991	8305.234	4760.002	7388.025	671.819	461	209.475
RUMHYD_00332	21903	23401.376	26660.994	210137.136	138836.452	404957.721	4993.983	4930.614	2361.525
RUMHYD_00333	22442	21874.315	25165.767	212836.225	154755.836	619198.911	3231.19	3087.392	1516
RUMHYD_00334	22962	17106	20395.239	211677.591	239974.903	738149.301	3304.289	3732.994	1783.149
RUMHYD_00335	19495	13897	19056	136101.711	136082.5	471061.433	2507.719	2680	1098.851
RUMHYD_00336	2486	3789	3243	8417	20036.047	15531	909	407	397
RUMHYD_00337	0	2	0	27	18	66	0	0	0
RUMHYD_00338	248	241	204	3038.998	2811	4101	234.01	193	124
RUMHYD_00339	966	1261	1076	16159.031	14921.746	18348.551	644.407	639.883	546
RUMHYD_00340	1189	1141	1160	18194.292	13079.78	18186	387.583	308.117	441
RUMHYD_00341	0	0	0	18	19	5	0	0	0
RUMHYD_00342	969	968	739	1582	822	1206	115.166	92	172.001
RUMHYD_00343	914	704	766	831	310	709	146.834	41	325.999
RUMHYD_00344	75	73	42	150	49	132	43	23	206
RUMHYD_00345	135	133	84	267	327	373	35	22	97
RUMHYD_00346	219	255	205	770	487	844	68	33	61
RUMHYD_00347	73	58	62	59	108	37	6	14	82
RUMHYD_00348	6162	7751	6002	10469	10634.046	16301	475	381	427
RUMHYD_00349	150	476	291	1934	3140	3474	86	93	126
RUMHYD_00350	4757	2177	2503	5976.095	5191	4599	718	420	460.831
RUMHYD_00351	1064	1113	1091	3240	4415.475	2910	262.145	344	391.449
RUMHYD_00352	6037.678	9040	8250	9401.405	12993.992	10718.521	1340.855	856	971.991
RUMHYD_00353	691.322	567	499	1317.113	1473.008	2136.479	41	30	96.729
RUMHYD_00354	3353	4708	3829	5453	3867	5732	322	268	268
RUMHYD_00355	38	91	71	367	237	178	39	38	135
RUMHYD_00356	122	150	62	59	21	34	19	22	100
RUMHYD_00357	1508	4111.819	2624.604	8840.869	7195.29	10395.846	358.341	297.331	204.65
RUMHYD_00358	16113	21512.181	18949.396	86862.345	70336.863	100410.15	2968.659	2133.771	1593.35
RUMHYD_00359	4828	10442.697	8964.185	47161.668	50121.514	66312.29	1807.764	1338.96	860.327
RUMHYD_00360	33260	41235.303	35545.815	198610.719	188729.325	226263.095	4539.236	3725.938	2914.673
RUMHYD_00361	1749	2904.166	1625.148	4194.818	3050.43	5663.43	140.476	96.449	75
RUMHYD_00362	0	0	0	0	0	0	0	5	19
RUMHYD_00363	24	7	24	15	11	4	9	0	131
RUMHYD_00364	166	86	42	140	183	38	22	16	75
RUMHYD_00365	0	7	0	9	9	7	1	0	0
RUMHYD_00366	256	179	198	216	174	301	11	7	126
RUMHYD_00367	0	0	0	24	25	41	0	7	3
RUMHYD_00368	75	401	417	309	310	705	14	1	11
RUMHYD_00369	1	14	20	0	1	5	0	10	17
RUMHYD_00370	593	879.834	658.852	2006.702	1324.57	2842.978	34.524	31.551	46
RUMHYD_00371	6472	7338.988	7314	20419.974	11364.512	23473.834	446	344	585
RUMHYD_00372	830	1009	750	1770.282	729	1765.519	34	55	95.244
RUMHYD_00373	479	483.457	429	665	165	668	46	23.005	74.529
RUMHYD_00374	828	1849.543	1026	973	375	1061	23	35.995	42.642
RUMHYD_00375	369	536.013	251	397.064	189.583	501.823	19	19	54.585
RUMHYD_00376	1216	2208.987	1820	2330.159	1389.417	2219.177	84	55	137
RUMHYD_00377	216	611	230	356.777	64	309	7	16	96
RUMHYD_00379	0	0	0	0	0	0	0	0	0
RUMHYD_00378	44	72	31	58	11	28	7	10	50
RUMHYD_00380	56	87	74	182	34	79	5	14	44
RUMHYD_00381	4018	4195	3479	25903	25589.943	31672	1153	1196	793.995
RUMHYD_00382	1138.423	288	577	128.889	96.057	154.558	23	6	55.005
RUMHYD_00383	47.673	18.02	3.003	60.2	48.002	117.568	4.013	0	11
RUMHYD_00384	801	914	605	4622.135	3032	7087	150	84	107
RUMHYD_00385	53	133	92	239	345	353	4	14	75
RUMHYD_00386	6	0	5	12	4	8	0	0	14
RUMHYD_00387	412	518	320	960	854	603	44	66	110
RUMHYD_00388	61	383	347	352	371	169	24	28	16
RUMHYD_00389	47	254	177	740.002	616	784	26	34	105.564
RUMHYD_00390	91	58	46	408.998	211	328	15	29	89.302
RUMHYD_00391	214	239	164	1472	1052	1135	68	89	169.133
RUMHYD_00392	1011	2024.492	1403.481	4923.778	6510.53	10225.889	188	76	157
RUMHYD_00393	660	1266.508	563.519	3145.857	2596.47	5324.111	99	128	59
RUMHYD_00394	0	8	7	3	1	4	0	0	0
RUMHYD_00395	107	69	31	167.744	114	155	19	12.477	42.472
